0.641315,0.022557,0.596337,0.023243,0.493382,0.083304,0.705898,0.142258,
0.493382,0.083304,0.297092,0.136035,0.135758,0.296626,0.702983,0.864496,0.842738,0.861183,0.864794,0.829315,0.857658,0.705888,0.705898,0.142258,
0.297092,0.136035,0.157199,0.138838,0.135317,0.170501,0.135758,0.296626,
0.493382,0.083304,0.403558,0.023256,0.358638,0.022471,0.297092,0.136035,
0.135758,0.296626,0.022572,0.358461,0.023294,0.403656,0.082885,0.505971,0.493512,0.917169,0.596176,0.976848,0.641425,0.977465,0.702983,0.864496,
0.857658,0.705888,0.920810,0.512044,0.863905,0.296628,0.741634,0.140433,0.705898,0.142258,
0.857658,0.705888,0.977438,0.641261,0.976849,0.596206,0.920810,0.512044,
0.863905,0.296628,0.861073,0.157098,0.836382,0.136348,0.741634,0.140433,
0.920810,0.512044,0.920879,0.486756,0.863905,0.296628,
0.920879,0.486756,0.976698,0.403484,0.977510,0.358494,0.863905,0.296628,
0.082885,0.505971,0.142145,0.705967,0.293093,0.857273,0.493512,0.917169,
0.293093,0.857273,0.358515,0.977424,0.403776,0.976805,0.493512,0.917169,
0.082885,0.505971,0.023106,0.596101,0.022517,0.641281,0.142145,0.705967,
0.142145,0.705967,0.138728,0.842637,0.163584,0.863379,0.249847,0.859568,0.293093,0.857273,
